"prolific_pid","treatment_store_exported","product_id","NAME","soldBy","quantity","price","swapOffered","swappedFor","addedFrom"
"668ac8ccac0dc505afbafed8","group-2","851472","Ole Extreme High Fiber Low Carbs Wraps","unit",1,5.19,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1017034","C4 Energy Zero Sugar Frozen Bombsicle Drink","unit",1,2.5,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1027271","Ghost Energy Drink Sour Patch Red Berry","unit",1,2.25,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1028567","C4 Energy Zero Sugar Strawberry Starburst Drink","unit",1,2.5,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1028568","C4 Energy Zero Sugar Skittles Drink","unit",1,2.5,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1038561","C4 Smart Energy Zero Sugar Sparkling Cherry Berry Lime","unit",1,2.19,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","973823","Gorton's Cod Fish Fillets Crunchy Panko Breadcrumbs","unit",1,7.99,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","1018748","SuperPretzel Soft Pretzel Bites","unit",1,3.29,false,"970567","swapsOfferedPopUp"
"668ac8ccac0dc505afbafed8","group-2","696152","Lean Cuisine Butternut Squash Ravioli","unit",1,3.89,false,"na","allProductsOverview"
"668ac8ccac0dc505afbafed8","group-2","705469","Pop Secret Movie Theater Butter Popcorn","unit",1,4.49,true,"na","swapsOfferedPopUp"
"668ac8ccac0dc505afbafed8","group-2","933157","Hannaford Mini Style Italian Meatballs","unit",1,11.99,true,"na","swapsOfferedPopUp"
"650b03136ab3d4c832d98b71","group-3","724173","Lipton Tea Bags","unit",1,4.79,true,"na","swapsOfferedPopUp"
"650b03136ab3d4c832d98b71","group-3","724173","Lipton Tea Bags","unit",1,4.79,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","972636","Pringles Original Party Stack Can","unit",1,2.89,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","972636","Pringles Original Party Stack Can","unit",1,2.89,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","710402","Tostitos Scoops Tortilla Chips","unit",1,4.39,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","1000162","Lay's Party Size Lightly Salted Potato Chips","unit",1,4.49,false,"1000158","swapsOfferedPopUp"
"650b03136ab3d4c832d98b71","group-3","1000162","Lay's Party Size Lightly Salted Potato Chips","unit",1,4.49,false,"1000158","swapAcceptedPopUp"
"650b03136ab3d4c832d98b71","group-3","909742","Nabisco Ritz Original Crackers","unit",1,3.99,true,"na","swapsOfferedPopUp"
"650b03136ab3d4c832d98b71","group-3","909742","Nabisco Ritz Original Crackers","unit",1,3.99,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","768797","Snyder's of Hanover Pretzel Sticks","unit",1,2.49,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","768797","Snyder's of Hanover Pretzel Sticks","unit",1,2.49,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","835918","Blue Diamond Almond Breeze Unsweetened Vanilla Almondmilk","unit",1,3.09,false,"na","allProductsOverview"
"650b03136ab3d4c832d98b71","group-3","835918","Blue Diamond Almond Breeze Unsweetened Vanilla Almondmilk","unit",1,3.09,false,"na","allProductsOverview"
"5a4ff86beedc32000141f232","group-1","737121","Oscar Mayer Sliced Bacon","unit",1,6.99,,,
"5a4ff86beedc32000141f232","group-1","768613","Jimmy Dean Regular Sausage Roll","unit",1,5.49,,,
"5a4ff86beedc32000141f232","group-1","768613","Jimmy Dean Regular Sausage Roll","unit",1,5.49,,,
"5a4ff86beedc32000141f232","group-1","970248","Hatfield All Natural Honey Garlic Teriyaki Pork Tenderloin","unit",1,7.99,,,
"5a4ff86beedc32000141f232","group-1","1008664","Hatfield Garlic Mustard Loin Filet","unit",1,7.49,,,
"5a4ff86beedc32000141f232","group-1","695734","Ore-Ida Tater Tots","unit",1,5.49,,,
"5a4ff86beedc32000141f232","group-1","695737","Ore-Ida Golden Crinkles","unit",1,5.49,,,
"5a4ff86beedc32000141f232","group-1","694133","Pepsi","unit",1,2.69,,,
